Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Portsmouth,13,9,3,1,23,11,12,30
Peterborough United,13,8,3,2,30,19,11,27
Barnsley,12,7,4,1,26,9,17,25
Doncaster Rovers,13,7,3,3,21,16,5,24
Sunderland,12,6,5,1,24,13,11,23
Accrington Stanley,13,6,5,2,17,13,4,23
Walsall,12,6,4,2,15,12,3,22
Fleetwood Town,13,5,5,3,21,12,9,20
Southend United,13,6,2,5,17,16,1,20
Luton Town,13,5,4,4,19,18,1,19
Charlton Athletic,12,5,3,4,19,18,1,18
Coventry City,13,5,3,5,11,13,-2,18
Scunthorpe United,13,4,5,4,20,26,-6,17
Blackpool,11,3,7,1,12,9,3,16
Burton Albion,12,4,2,6,13,15,-2,14
Rochdale,13,3,4,6,19,28,-9,13
Shrewsbury Town,13,2,6,5,11,13,-2,12
Wycombe Wanderers,13,2,6,5,14,19,-5,12
Gillingham,12,3,2,7,15,22,-7,11
AFC Wimbledon,13,3,2,8,10,18,-8,11
Bristol Rovers,13,2,4,7,9,13,-4,10
Bradford City,13,3,1,9,10,20,-10,10
Oxford United,13,2,3,8,13,23,-10,9
Plymouth Argyle,13,1,4,8,9,22,-13,7
