Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Lincoln City,12,10,1,1,27,9,18,31
Exeter City,13,8,3,2,24,12,12,27
Newport County,13,8,3,2,20,20,0,27
Milton Keynes Dons,13,6,6,1,16,8,8,24
Colchester United,13,6,4,3,28,15,13,22
Stevenage,13,6,3,4,16,13,3,21
Forest Green Rovers,13,4,8,1,19,12,7,20
Tranmere Rovers,12,5,5,2,16,12,4,20
Bury,13,5,4,4,19,15,4,19
Crawley Town,13,6,1,6,18,18,0,19
Carlisle United,13,6,1,6,13,15,-2,19
Oldham Athletic,12,4,5,3,16,12,4,17
Swindon Town,13,4,5,4,17,18,-1,17
Mansfield Town,11,3,7,1,16,9,7,16
Yeovil Town,12,4,4,4,20,15,5,16
Port Vale,13,4,2,7,13,19,-6,14
Morecambe,13,4,1,8,14,25,-11,13
Crewe Alexandra,12,3,3,6,12,13,-1,12
Northampton Town,13,2,6,5,11,19,-8,12
Notts County,12,3,3,6,16,26,-10,12
Grimsby Town,12,3,2,7,9,18,-9,11
Cheltenham Town,12,2,3,7,9,18,-9,9
Cambridge United,13,2,2,9,11,26,-15,8
Macclesfield Town,13,-,4,9,11,24,-13,4
