Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Atlanta United,28,17,6,5,59,33,26,57
New York Red Bulls,29,17,5,7,53,32,21,56
Sporting Kansas City,28,15,6,7,54,34,20,51
FC Dallas,28,14,8,6,47,37,10,50
New York City,29,14,7,8,51,38,13,49
Los Angeles FC,28,13,8,7,55,43,12,47
Real Salt Lake,29,13,6,10,49,47,2,45
Portland Timbers,28,12,9,7,41,39,2,45
Seattle Sounders,27,13,5,9,37,28,9,44
Columbus Crew,28,12,8,8,35,34,1,44
Philadelphia Union,28,12,4,12,40,45,-5,40
Montreal Impact,29,12,3,14,41,46,-5,39
Los Angeles Galaxy,29,10,8,11,54,59,-5,38
Vancouver Whitecaps,28,10,8,10,45,54,-9,38
DC United,28,9,8,11,48,48,0,35
New England Revolution,28,8,10,10,41,43,-2,34
Houston Dynamo,28,8,7,13,47,43,4,31
Toronto FC,28,8,6,14,50,55,-5,30
Minnesota United,28,9,3,16,40,55,-15,30
Chicago Fire,28,7,6,15,41,52,-11,27
Colorado Rapids,28,6,6,16,31,53,-22,24
Orlando City,28,7,3,18,40,66,-26,24
San Jose Earthquakes,28,4,8,16,42,57,-15,20
