Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Barcelona,4,3,1,-,14,4,10,10
Real Madrid,3,3,-,-,10,2,8,9
Celta Vigo,3,2,1,-,5,2,3,7
Levante,3,1,1,1,6,4,2,4
Sevilla,3,1,1,1,4,2,2,4
Athletic Bilbao,2,1,1,-,4,3,1,4
Espanyol,3,1,1,1,4,3,1,4
Getafe,3,1,1,1,2,2,0,4
Real Sociedad,4,1,1,2,6,7,-1,4
Atletico Madrid,3,1,1,1,2,3,-1,4
CD Alaves,3,1,1,1,2,4,-2,4
Girona FC,3,1,1,1,2,4,-2,4
Real Betis,3,1,1,1,1,3,-2,4
Huesca SD,3,1,1,1,6,11,-5,4
Real Valladolid,3,-,3,-,1,1,0,3
Eibar,3,1,-,2,3,5,-2,3
Valencia,3,-,2,1,3,5,-2,2
Villarreal,3,-,1,2,1,3,-2,1
CD Leganes,3,-,1,2,4,8,-4,1
Rayo Vallecano,2,-,-,2,1,5,-4,0
