Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Liverpool,4,4,-,-,9,1,8,12
Chelsea,4,4,-,-,10,3,7,12
Watford,4,4,-,-,9,3,6,12
Manchester City,4,3,1,-,11,3,8,10
Tottenham Hotspur,4,3,-,1,9,4,5,9
AFC Bournemouth,5,2,1,2,9,8,1,7
Arsenal,4,2,-,2,8,8,0,6
Everton,5,1,3,1,8,9,-1,6
Leicester City,5,2,-,3,8,9,-1,6
Manchester United,4,2,-,2,6,7,-1,6
West Ham United,5,2,-,3,6,10,-4,6
Wolverhampton Wanderers,4,1,2,1,4,5,-1,5
Southampton,4,1,1,2,4,4,0,4
Fulham,4,1,1,2,7,9,-2,4
Brighton & Hove Albion,4,1,1,2,5,7,-2,4
Crystal Palace,4,1,-,3,3,6,-3,3
Cardiff City,4,-,2,2,2,5,-3,2
Huddersfield Town,4,-,2,2,2,10,-8,2
Newcastle United,4,-,1,3,3,6,-3,1
Burnley,4,-,1,3,3,9,-6,1
