Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
VfL Wolfsburg,3,2,1,-,7,4,3,7
Hertha BSC,3,2,1,-,5,2,3,7
1. FSV Mainz 05,3,2,1,-,4,2,2,7
Bayern Munich,2,2,-,-,6,1,5,6
Borussia Dortmund,2,1,1,-,4,1,3,4
Borussia M'gladbach,2,1,1,-,3,1,2,4
Werder Bremen,2,1,1,-,3,2,1,4
FC Augsburg,3,1,1,1,4,4,0,4
Fortuna Dusseldorf,3,1,1,1,4,4,0,4
Eintracht Frankfurt,2,1,-,1,3,2,1,3
TSG 1899 Hoffenheim,3,1,-,2,5,6,-1,3
Hannover 96,2,-,2,-,1,1,0,2
1. FC Nurnberg,2,-,1,1,1,2,-1,1
RB Leipzig,2,-,1,1,2,5,-3,1
FC Schalke 04,2,-,-,2,1,4,-3,0
Bayer Leverkusen,2,-,-,2,1,5,-4,0
SC Freiburg,2,-,-,2,1,5,-4,0
VfB Stuttgart,2,-,-,2,0,4,-4,0
