Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Lincoln City,8,6,1,1,16,6,10,19
Exeter City,8,5,1,2,15,8,7,16
Newport County,8,5,1,2,9,13,-4,16
Colchester United,8,4,3,1,17,5,12,15
Yeovil Town,7,4,2,1,15,3,12,14
Oldham Athletic,8,4,2,2,12,6,6,14
Bury,8,4,1,3,14,10,4,13
Tranmere Rovers,8,3,4,1,10,7,3,13
Milton Keynes Dons,7,3,4,-,7,4,3,13
Crawley Town,8,4,1,3,11,10,1,13
Carlisle United,8,4,1,3,9,10,-1,13
Forest Green Rovers,8,2,6,-,12,7,5,12
Stevenage,8,3,3,2,10,9,1,12
Swindon Town,8,3,3,2,13,14,-1,12
Mansfield Town,7,2,4,1,9,6,3,10
Port Vale,8,3,1,4,9,8,1,10
Crewe Alexandra,7,2,2,3,9,8,1,8
Cheltenham Town,8,2,2,4,6,8,-2,8
Cambridge United,8,2,1,5,7,15,-8,7
Northampton Town,8,1,3,4,8,13,-5,6
Grimsby Town,8,1,2,5,5,15,-10,5
Morecambe,8,1,-,7,3,17,-14,3
Macclesfield Town,8,-,2,6,6,16,-10,2
Notts County,8,-,2,6,10,24,-14,2
