Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
PSV Eindhoven,4,4,-,-,14,3,11,12
AFC Ajax,4,3,1,-,11,1,10,10
Heracles Almelo,5,3,1,1,13,13,0,10
Feyenoord,4,3,-,1,11,7,4,9
AZ Alkmaar,4,2,1,1,11,4,7,7
ADO Den Haag,4,2,-,2,10,9,1,6
Willem II Tilburg,4,2,-,2,7,7,0,6
Vitesse Arnhem,4,1,2,1,6,6,0,5
VVV Venlo,4,1,2,1,3,3,0,5
Fortuna Sittard,5,1,2,2,7,9,-2,5
FC Utrecht,4,1,2,1,4,6,-2,5
SC Heerenveen,5,1,2,2,11,14,-3,5
De Graafschap,4,1,1,2,3,5,-2,4
SBV Excelsior,4,1,1,2,5,8,-3,4
FC Emmen,4,1,1,2,4,11,-7,4
PEC Zwolle,4,1,-,3,4,7,-3,3
FC Groningen,4,1,-,3,2,7,-5,3
NAC Breda,5,1,-,4,7,13,-6,3
