Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Juventus,3,3,-,-,7,3,4,9
Napoli,4,3,-,1,6,6,0,9
Sassuolo,3,2,1,-,8,5,3,7
Fiorentina,3,2,-,1,7,2,5,6
SPAL,3,2,-,1,2,1,1,6
AS Roma,4,1,2,1,7,7,0,5
Atalanta,3,1,1,1,7,4,3,4
Internazionale,4,1,1,2,5,4,1,4
Empoli,3,1,1,1,3,2,1,4
Torino,3,1,1,1,3,3,0,4
Udinese,3,1,1,1,3,3,0,4
Parma,4,1,1,2,4,5,-1,4
Cagliari,3,1,1,1,3,4,-1,4
Sampdoria,2,1,-,1,3,1,2,3
AC Milan,2,1,-,1,4,4,0,3
Genoa,2,1,-,1,5,6,-1,3
SS Lazio,3,1,-,2,2,4,-2,3
Chievo,4,-,2,2,5,11,-6,2
Bologna,3,-,1,2,0,4,-4,1
Frosinone,3,-,1,2,0,5,-5,1
