Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Leeds United,6,4,2,-,14,4,10,14
Middlesbrough,7,4,2,1,9,3,6,14
Sheffield United,6,4,-,2,12,8,4,12
Derby County,6,4,-,2,10,8,2,12
Brentford,6,3,2,1,12,6,6,11
Bristol City,6,3,2,1,11,6,5,11
Wigan Athletic,6,3,2,1,11,7,4,11
Swansea City,6,3,2,1,7,5,2,11
Sheffield Wednesday,7,3,2,2,11,11,0,11
Bolton Wanderers,6,3,2,1,8,8,0,11
West Bromwich Albion,6,3,1,2,15,9,6,10
Blackburn Rovers,6,2,3,1,7,8,-1,9
Norwich City,7,2,2,3,10,12,-2,8
Nottingham Forest,6,1,4,1,8,8,0,7
Aston Villa,6,1,4,1,10,11,-1,7
Hull City,7,2,1,4,8,11,-3,7
Stoke City,7,1,3,3,9,13,-4,6
Rotherham United,6,2,-,4,5,11,-6,6
Millwall,6,1,2,3,6,8,-2,5
Reading,7,1,2,4,8,11,-3,5
Preston North End,7,1,2,4,7,12,-5,5
Birmingham City,6,-,4,2,4,6,-2,4
Queens Park Rangers,6,1,1,4,3,13,-10,4
Ipswich Town,7,-,3,4,5,11,-6,3
