Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Portsmouth,8,6,2,-,15,5,10,20
Peterborough United,8,6,1,1,20,9,11,19
Sunderland,8,4,3,1,15,8,7,15
Doncaster Rovers,8,4,3,1,13,6,7,15
Barnsley,6,4,2,-,14,3,11,14
Charlton Athletic,8,4,2,2,11,8,3,14
Walsall,7,4,2,1,11,9,2,14
Fleetwood Town,8,3,4,1,13,6,7,13
Blackpool,8,3,4,1,8,5,3,13
Accrington Stanley,8,2,5,1,10,10,0,11
Luton Town,8,3,2,3,10,10,0,11
Rochdale,8,3,2,3,13,16,-3,11
Burton Albion,8,3,1,4,10,11,-1,10
Scunthorpe United,8,2,4,2,12,18,-6,10
Coventry City,7,2,2,3,5,7,-2,8
AFC Wimbledon,8,2,2,4,6,11,-5,8
Shrewsbury Town,8,1,4,3,7,8,-1,7
Southend United,8,2,1,5,9,13,-4,7
Wycombe Wanderers,8,1,4,3,7,11,-4,7
Gillingham,8,2,1,5,9,14,-5,7
Bradford City,8,2,-,6,6,13,-7,6
Bristol Rovers,8,1,2,5,6,10,-4,5
Oxford United,8,1,2,5,8,17,-9,5
Plymouth Argyle,8,-,3,5,4,14,-10,3
