Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
PSV Eindhoven,8,8,-,-,30,3,27,24
AFC Ajax,8,6,1,1,21,4,17,19
Feyenoord,8,5,2,1,16,10,6,17
Heracles Almelo,8,5,1,2,19,18,1,16
Vitesse Arnhem,8,3,3,2,14,9,5,12
AZ Alkmaar,8,3,3,2,17,13,4,12
VVV Venlo,8,3,2,3,8,9,-1,11
ADO Den Haag,8,3,2,3,13,18,-5,11
SC Heerenveen,8,2,4,2,20,18,2,10
PEC Zwolle,8,3,1,4,9,11,-2,10
Willem II Tilburg,8,2,3,3,15,16,-1,9
FC Utrecht,8,2,3,3,8,11,-3,9
SBV Excelsior,8,2,3,3,11,15,-4,9
FC Emmen,8,2,2,4,10,18,-8,8
Fortuna Sittard,8,1,4,3,14,18,-4,7
De Graafschap,8,2,1,5,6,17,-11,7
FC Groningen,8,1,1,6,4,15,-11,4
NAC Breda,8,1,-,7,8,20,-12,3
