Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Manchester City,8,6,2,-,21,3,18,20
Chelsea,8,6,2,-,18,5,13,20
Liverpool,8,6,2,-,15,3,12,20
Arsenal,8,6,-,2,19,10,9,18
Tottenham Hotspur,8,6,-,2,15,7,8,18
Wolverhampton Wanderers,8,4,3,1,9,6,3,15
AFC Bournemouth,8,4,1,3,15,13,2,13
Manchester United,8,4,1,3,13,14,-1,13
Watford,8,4,1,3,11,12,-1,13
Leicester City,8,4,-,4,14,12,2,12
Everton,8,3,3,2,13,12,1,12
West Ham United,8,3,1,4,9,12,-3,10
Burnley,8,2,2,4,10,12,-2,8
Brighton & Hove Albion,8,2,2,4,9,13,-4,8
Crystal Palace,8,2,1,5,5,9,-4,7
Southampton,8,1,2,5,6,14,-8,5
Fulham,8,1,2,5,9,21,-12,5
Huddersfield Town,8,-,3,5,4,17,-13,3
Newcastle United,8,-,2,6,6,13,-7,2
Cardiff City,8,-,2,6,4,17,-13,2
