Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Paris Saint-Germain,4,4,-,-,13,4,9,12
Dijon FCO,4,3,-,1,8,3,5,9
Toulouse,4,3,-,1,5,6,-1,9
Lille OSC,4,2,1,1,6,2,4,7
Olympique Marseille,4,2,1,1,10,7,3,7
Stade Rennes,4,2,1,1,6,5,1,7
Montpellier HSC,4,2,1,1,4,3,1,7
Olympique Lyonnais,4,2,-,2,4,2,2,6
AS Saint-Etienne,4,1,3,-,3,2,1,6
Nimes Olympique,4,2,-,2,9,9,0,6
Stade Reims,4,2,-,2,3,5,-2,6
Caen,4,1,2,1,4,5,-1,5
AS Monaco,4,1,1,2,6,6,0,4
SC Amiens,4,1,1,2,5,5,0,4
RC Strasbourg,4,1,1,2,5,6,-1,4
FC Nantes,4,1,1,2,5,8,-3,4
OGC Nice,4,1,1,2,2,6,-4,4
Angers SCO,4,1,-,3,5,8,-3,3
Girondins De Bordeaux,4,1,-,3,3,7,-4,3
En Avant Guingamp,4,-,-,4,3,10,-7,0
