Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Atlanta United,28,17,6,5,59,33,26,57
New York Red Bulls,28,17,4,7,50,29,21,55
FC Dallas,28,14,8,6,47,37,10,50
New York City,29,14,7,8,51,38,13,49
Sporting Kansas City,27,14,6,7,49,33,16,48
Portland Timbers,27,12,9,6,40,35,5,45
Real Salt Lake,27,13,5,9,48,44,4,44
Columbus Crew,28,12,8,8,35,34,1,44
Los Angeles FC,26,12,7,7,52,42,10,43
Seattle Sounders,26,12,5,9,35,27,8,41
Philadelphia Union,28,12,4,12,40,45,-5,40
Montreal Impact,29,12,3,14,41,46,-5,39
Los Angeles Galaxy,29,10,8,11,54,59,-5,38
Vancouver Whitecaps,27,10,8,9,44,52,-8,38
DC United,27,9,7,11,45,45,0,34
New England Revolution,27,8,9,10,40,42,-2,33
Toronto FC,28,8,6,14,50,55,-5,30
Minnesota United,27,9,2,16,39,54,-15,29
Houston Dynamo,27,7,7,13,43,42,1,28
Chicago Fire,27,6,6,15,37,52,-15,24
Orlando City,27,7,3,17,40,62,-22,24
Colorado Rapids,28,6,6,16,31,53,-22,24
San Jose Earthquakes,27,4,8,15,41,52,-11,20
